Categories,N,Count
Business_Ethics,0,12.693798449612403
Data_Security,1,2.5193798449612403
Access_And_Affordability,2,3.77906976744186
Business_Model_Resilience,3,14.147286821705427
Competitive_Behavior,4,18.507751937984494
Critical_Incident_Risk_Management,5,0.6782945736434108
Customer_Welfare,6,3.2945736434108532
Director_Removal,7,3.875968992248062
Employee_Engagement_Inclusion_And_Diversity,8,7.55813953488372
Employee_Health_And_Safety,9,3.5852713178294575
Human_Rights_And_Community_Relations,10,1.1627906976744187
Labor_Practices,11,1.550387596899225
Management_Of_Legal_And_Regulatory_Framework,12,9.883720930232558
Physical_Impacts_Of_Climate_Change,13,0.09689922480620156
Product_Quality_And_Safety,14,0.0
Product_Design_And_Lifecycle_Management,15,4.3604651162790695
Selling_Practices_And_Product_Labeling,16,0.0
Supply_Chain_Management,17,0.5813953488372093
Systemic_Risk_Management,18,2.0348837209302326
Waste_And_Hazardous_Materials_Management,19,2.616279069767442
Water_And_Wastewater_Management,20,0.29069767441860467
Air_Quality,21,0.5813953488372093
Customer_Privacy,22,4.457364341085271
Ecological_Impacts,23,1.744186046511628
Energy_Management,24,0.0
GHG_Emissions,25,0.0
