,Date,SOURCEURL,AvgTone,N_label,Label
0,1920-01-01,https://www.bworldonline.com/russian-competition-watchdog-opens-investigation-into-booking-com/,-4.0983606557377,4.0,Competitive_Behavior
1,1920-01-02,https://www.express.co.uk/travel/articles/1223213/booking-com-couple-stranded-travel-news-hotel-holidays-mexico,-0.76252723311547,9.0,Employee_Health_And_Safety
3,2005-10-11,https://au.news.yahoo.com/thewest/business/technology/a/29773660/booking-com-targets-china-u-s-growth-ceo/,1.3617624268676698,18.0,Systemic_Risk_Management
7,2005-10-12,http://skift.com/2015/10/10/behind-booking-coms-growing-ambitions-for-the-chinese-market/,1.3986013986014,18.0,Systemic_Risk_Management
8,2005-10-13,http://www.dealstreetasia.com/stories/after-dominating-online-travel-in-europe-booking-com-targets-china-us-growth-says-chief-executive-darren-huston-15234/,1.2658227848101298,4.0,Competitive_Behavior
9,2014-02-24,http://electronicintifada.net/content/bookingcom-offers-hotel-rooms-israels-illegal-settlements/14300,-4.47761194029851,8.0,Employee_Engagement_Inclusion_And_Diversity
10,2014-11-27,http://www.brandrepublic.com/article/bookingcom-talks-agencies-digital-comms-business/1374480,2.76147043261357,4.0,Competitive_Behavior
11,2014-12-14,http://www.watoday.com.au/business/aviation/bookingcoms-meteoric-rise-sparks-travel-industry-concern-20150114-12npnt.html,1.5948963317384397,4.0,Competitive_Behavior
12,2015-01-08,http://www.travelpulse.com/news/features/bookingcom-provides-month-by-month-travel-recommendations.html,0.82352941176471,22.0,Customer_Privacy
13,2015-02-17,http://www.ots.at/presseaussendung/OTE_20150217_OTE0003/pick-your-perfect-stay-as-bookingcom-adds-its-600000th-property,5.50876960344036,8.0,Employee_Engagement_Inclusion_And_Diversity
14,2015-02-18,http://www.tnooz.com/article/booking-com-ad-cleared/,-3.9426523297491,0.0,Business_Ethics
18,2015-03-23,http://www.booking.com/region/us/indiana.en.html?aid=318760&label=msn-AMINM4FaGaoWvazQP7O3Aw-6302353129,9.52380952380955,6.0,Customer_Welfare
20,2015-04-02,http://skift.com/2015/04/02/germany-rejects-booking-com-proposal-on-hotel-rate-practices/,-3.64372469635627,0.0,Business_Ethics
21,2015-04-06,http://www.natlawreview.com/article/german-competition-authority-fco-sends-statement-objections-to-bookingcom,0.93167701863354,4.0,Competitive_Behavior
22,2015-04-09,http://www.booking.com/hotel/gr/ambassador.en.html?aid=330632&label=msn-rvovpuSb_cBBmUHJq8leIA-5367550798,3.52564102564103,7.0,Director_Removal
23,2015-04-09,http://www.booking.com/city/us/new-york.html?aid=306742&label=msn-BUXb9eSpR_5kFD2bPEzPGQ-6303835433,6.0893098782138,3.0,Business_Model_Resilience
24,2015-04-09,http://www.booking.com/hotel/se/first-reisen.en.html?aid=330632&label=msn-VjGJZku88oRyC5UeTfQxiA-457039241,0.96153846153846,7.0,Director_Removal
25,2015-04-10,http://www.booking.com/city/th/bangkok.html?aid=306742&label=msn-i3_Ked6YedeYnqhfuAUFrA-5368112713,7.41935483870968,3.0,Business_Model_Resilience
26,2015-04-10,http://www.booking.com/city/us/new-york.html?aid=306742&label=msn-BUXb9eSpR_5kFD2bPEzPGQ-6303871664,5.772005772005779,3.0,Business_Model_Resilience
27,2015-04-10,http://www.booking.com/region/us/louisiana.en.html?aid=318760&label=msn-JMBApkLOvv0eyKZbH4GFdA-6302348810,7.51173708920188,12.0,Management_Of_Legal_And_Regulatory_Framework
28,2015-04-15,http://www.booking.com/region/cl/chiloe.en.html?aid=318760&label=msn-WHZXFsn3u8f9g3rvFOlA_Q-6302334440,-1.3395277543901298,12.0,Management_Of_Legal_And_Regulatory_Framework
29,2015-04-15,http://www.booking.com/hotel/bh/the-domain-bahrian.en.html?aid=330632&label=msn-64Qs4M_zEfsqPue97qJ*qQ-6311144360,1.19760479041916,7.0,Director_Removal
30,2015-04-15,http://www.booking.com/city/tj/dushanbe-tj.en.html?aid=306742&label=msn-sjsFFKQz*m3oGc01eSRoJA-6309059103,4.25531914893617,0.0,Business_Ethics
31,2015-04-16,http://www.booking.com/city/tj/dushanbe-tj.en.html?aid=306742&label=msn-TgC*G0RXuBk9fGU7UKqBxw-6309059103,4.25531914893617,6.0,Customer_Welfare
32,2015-04-16,http://www.booking.com/hotel/bh/the-domain-bahrian.en.html?aid=330632&label=msn-64Qs4M_zEfsqPue97qJ*qQ-6311144359,1.61527165932453,7.0,Director_Removal
35,2015-04-21,http://www.4-traders.com/news/Italian-Competition-Authority--Commitments-offered-by-Bookingcom-closed-the-investigation-in-Ital--20227101/,1.20481927710844,4.0,Competitive_Behavior
36,2015-04-21,http://www.expatica.com/fr/news/country-news/Bookingcom-to-loosen-grip-on-hotel-prices-in-France-Italy-Sweden_470785.html,-2.3905861671819104,4.0,Competitive_Behavior
37,2015-04-21,http://www.themalaymailonline.com/travel/article/booking.com-to-loosen-grip-on-hotel-prices-in-france-italy-sweden,-2.5963978461348,4.0,Competitive_Behavior
38,2015-04-21,http://www.4-traders.com/PRICELINE-GROUP-INC-10413/news/Bookingcom-settles-Antitrust-Complaints-20228942/,-2.2988505747126498,1.0,Data_Security
39,2015-04-21,http://www.booking.com/hotel/us/ambassador-inn-manchester.en.html?aid=330632&label=msn-rELENik5Ny7VzJStRyrFgQ-489568869,1.04529616724739,7.0,Director_Removal
40,2015-04-21,http://www.cio.com.au/article/573123/booking-com-will-no-longer-require-european-hotels-offer-it-better-room-prices/,0.300029077423859,1.0,Data_Security
41,2015-04-22,http://www.4-traders.com/MARRIOTT-INTERNATIONAL-IN-14633490/news/Bookingcom-to-Create-Free-Websites-for-Small-Hotels-20235466/,0.278551532033421,18.0,Systemic_Risk_Management
42,2015-04-22,http://www.4-traders.com/news/Italian-Competition-Authority--I779-Commitments-offeresd-by-Bookingcom-closed-the-investigation--20233304/,1.2027491408934698,4.0,Competitive_Behavior
44,2015-04-22,http://computerworld.com.sg/tech/internet/bookingcom-will-no-longer-require-european-hotels-to-offer-it-better-room-prices/,0.412142043961817,3.0,Business_Model_Resilience
47,2015-04-22,http://www.booking.com/city/us/new-york.en.html?aid=306742&label=msn-EqspE7IUyuI11VKefJoWhQ-8491419953,6.11875648116142,3.0,Business_Model_Resilience
48,2015-04-22,http://www.booking.com/hotel/it/trerose.html?aid=330632&label=msn-GYceYiX5uDRmgsFBO9LnHA-489570745,-0.8823529411764699,12.0,Management_Of_Legal_And_Regulatory_Framework
49,2015-04-23,http://www.finanznachrichten.de/nachrichten-2015-04/33487703-booking-com-launches-bookingsuite-introduces-new-groundbreaking-websites-for-property-owners-008.htm,4.11753105428836,15.0,Product_Design_And_Lifecycle_Management
51,2015-04-24,http://www.travolution.co.uk/articles/2015/04/24/11969/bha-blast-for-booking-com-competition-ruling-in-europe.html,5.389221556886231,17.0,Supply_Chain_Management
52,2015-04-28,http://www.booking.com/hotel/gr/ambassador.en.html?aid=330632&label=msn-rvovpuSb_cBBmUHJq8leIA-456972246,3.39805825242719,7.0,Director_Removal
53,2015-04-28,http://www.theguardian.com/media/media-blog/2015/apr/28/booking-com-audi-shell-ad-break,2.01207243460765,3.0,Business_Model_Resilience
54,2015-04-28,http://www.booking.com/hotel/gr/ambassador.en.html?aid=330632&label=msn-rvovpuSb_cBBmUHJq8leIA-456972248,3.52564102564103,7.0,Director_Removal
55,2015-04-29,http://www.afr.com/lifestyle/travel/bookingcoms-gillian-tans-how-a-travel-executive-travels-20150429-1mpo4n,1.86915887850468,6.0,Customer_Welfare
56,2015-05-01,http://www.autorentalnews.com/news/story/2015/04/cartrawler-acquires-taxi-booking-company.aspx,5.208333333333339,15.0,Product_Design_And_Lifecycle_Management
57,2015-05-06,http://www.booking.com/city/us/new-york.en.html?aid=306742&label=msn-TiQJPEWJH6DhHWqRPD1dng-8491419954,7.72870662460568,3.0,Business_Model_Resilience
58,2015-05-12,http://www.booking.com/city/pa/panama.en.html?aid=346685&label=msn-WMOfag0cEGHHPfWMpqyOow-6303873832,9.933774834437118,15.0,Product_Design_And_Lifecycle_Management
59,2015-05-14,http://www.zawya.com/story/Radisson_Blu_Martinez_Beirut_Receives_Award_of_Excellence_for_the_Bookingcom_Guest_Review_Awards_2014-ZAWYA20150514101040/,-2.9357182342256896,22.0,Customer_Privacy
61,2015-05-20,http://www.booking.com/city/gr/sarti.html?aid=306742&label=msn-z_5IWUM2LBoHMgm7pFE2Xw-5368374025,6.16197183098592,6.0,Customer_Welfare
62,2015-05-22,http://balticbusinessnews.com/article/2015/4/28/booking-com-is-getting-too-powerful-estonian-hotels,0.7125890736342,22.0,Customer_Privacy
63,2015-05-24,http://www.tourism-review.com/german-hotel-association-criticizes-bookingcom-news4570,-1.32275132275133,4.0,Competitive_Behavior
64,2015-05-27,http://www.booking.com/region/us/louisiana.en.html?aid=339464&label=msn-Z3Jl36CvVjDcqXUuHwrxdg-6302343954,8.94308943089435,12.0,Management_Of_Legal_And_Regulatory_Framework
65,2015-05-28,http://www.booking.com/region/us/arizona.en.html?aid=339464&label=msn-IStEVkaVdF*qGn4nL8nESw-6302351336,5.642633228840129,9.0,Employee_Health_And_Safety
66,2015-05-28,http://www.booking.com/region/us/indiana.en.html?aid=339464&label=msn-*LqMUUcYggcWKUvBh1jJzQ-6302351507,9.52380952380955,6.0,Customer_Welfare
67,2015-05-29,http://www.booking.com/hotel/de/mauritius-therme.en.html?aid=330632&label=msn-bsy5eyetjfU68Zy9fc4u7A-456962260&%20therme%20cologne,1.620029455081,7.0,Director_Removal
68,2015-06-05,http://www.booking.com/region/us/new-mexico.en.html?aid=339464&label=msn-9t41CS6e2cSNWVMW1d2VhQ-6302351203,7.76699029126213,8.0,Employee_Engagement_Inclusion_And_Diversity
69,2015-06-09,http://gulfnews.com/business/sectors/tourism/booking-com-to-diversify-its-uae-properties-1.1532556,0.9765625,3.0,Business_Model_Resilience
70,2015-06-09,http://www.booking.com/region/us/indiana.en.html?aid=339464&label=msn-*LqMUUcYggcWKUvBh1jJzQ-6302351508,6.5734989648033295,6.0,Customer_Welfare
71,2015-06-10,http://www.zawya.com/story/Bookingcom_to_diversify_its_UAE_properties-GN_10062015_110655/,0.967117988394583,22.0,Customer_Privacy
72,2015-06-11,https://www.zawya.com/story/Bookingcom_to_diversify_its_UAE_properties-GN_10062015_110655/,0.965250965250967,22.0,Customer_Privacy
74,2015-06-25,http://www.travolution.co.uk/Articles/2015/06/25/12225/booking.com+looks+to+set+the+tone+on+price+parity+with+european.html,5.27240773286468,17.0,Supply_Chain_Management
75,2015-06-25,http://www.rttnews.com/2515990/priceline-s-booking-com-to-amend-parity-provisions-in-europe-by-july-1.aspx,3.9007582711919904,4.0,Competitive_Behavior
77,2015-06-25,http://thepeninsulaqatar.com/business/international-business/345874/booking-com-alters-contested-rules-for-hotels-across-europe,-3.01204819277109,18.0,Systemic_Risk_Management
78,2015-06-25,http://www.expatica.com/fr/news/country-news/Bookingcom-alters-contested-rules-for-hotels-across-Europe_477392.html,-3.04259634888438,4.0,Competitive_Behavior
79,2015-06-26,http://www.themalaymailonline.com/travel/article/top-travel-tips-from-booking.coms-ceo-tans,2.1484375,22.0,Customer_Privacy
80,2015-06-26,http://www.booking.com/hotel/de/ambassador-apparthotel.en.html?aid=330632&label=msn-ezWYSnbwEJPP7BOdubHuBw-4783427794,0.92592592592593,7.0,Director_Removal
82,2015-06-26,http://www.booking.com/hotel/am/erebuni.en.html?aid=330632&label=msn-s3I39U*eHzdzQ47k90m8hQ-484944102,0.7680491551459301,7.0,Director_Removal
83,2015-06-27,http://www.booking.com/hotel/de/ambassador-apparthotel.en.html?aid=330632&label=msn-ezWYSnbwEJPP7BOdubHuBw-4783427795,0.92592592592593,7.0,Director_Removal
84,2015-07-04,http://www.booking.com/city/ar/buenos-aires.en-gb.html,6.310679611650491,8.0,Employee_Engagement_Inclusion_And_Diversity
85,2015-07-04,http://www.pressreleasepoint.com/solomon-airlines-partners-booking-com,3.86863702288727,2.0,Access_And_Affordability
86,2015-07-04,http://www.booking.com/city/us/new-york.en-gb.html,5.72519083969466,3.0,Business_Model_Resilience
87,2015-07-04,http://www.booking.com/city/br/sao-paulo.en-gb.html,1.4778325123152802,8.0,Employee_Engagement_Inclusion_And_Diversity
88,2015-07-04,http://www.booking.com/city/th/ban-patong.en-gb.html,12.7659574468085,6.0,Customer_Welfare
89,2015-07-04,http://www.booking.com/city/nl/amsterdam.en-gb.html,4.40089105941824,3.0,Business_Model_Resilience
90,2015-07-04,http://www.booking.com/content/offices.en-gb.html,5.820105820105821,22.0,Customer_Privacy
91,2015-07-04,http://www.booking.com/city/it/milan.en-gb.html,8.37004405286344,15.0,Product_Design_And_Lifecycle_Management
92,2015-07-04,http://www.booking.com/city/me/budva.en-gb.html,3.05136795086544,15.0,Product_Design_And_Lifecycle_Management
93,2015-07-04,http://www.booking.com/city/at/vienna.en-gb.html,7.692307692307691,8.0,Employee_Engagement_Inclusion_And_Diversity
94,2015-07-04,http://www.booking.com/city/th/chiang-mai.en-gb.html,4.60829493087558,3.0,Business_Model_Resilience
95,2015-07-04,http://www.booking.com/content/privacy.en-gb.html,1.39921294271972,22.0,Customer_Privacy
96,2015-07-04,http://www.booking.com/city/it/naples.en-gb.html,1.82648401826484,19.0,Waste_And_Hazardous_Materials_Management
97,2015-07-04,http://www.booking.com/city/it/palermo.en-gb.html,4.67289719626168,19.0,Waste_And_Hazardous_Materials_Management
98,2015-07-04,http://www.booking.com/region/gb/isle-of-man.en-gb.html,1.70212765957447,19.0,Waste_And_Hazardous_Materials_Management
99,2015-07-04,http://www.booking.com/content/terms.en-gb.html,-0.47991917150796,15.0,Product_Design_And_Lifecycle_Management
100,2015-07-04,http://www.booking.com/city/fr/nice.en-gb.html,9.42028985507247,3.0,Business_Model_Resilience
101,2015-07-04,http://www.booking.com/city/de/berlin.en-gb.html,8.54341736694678,8.0,Employee_Engagement_Inclusion_And_Diversity
102,2015-07-04,http://www.booking.com/region/gb/isle-of-wight-county.en-gb.html,0.8403361344537801,2.0,Access_And_Affordability
103,2015-07-04,http://www.booking.com/region/gr/santorini.en-gb.html,9.61098398169332,3.0,Business_Model_Resilience
104,2015-07-04,http://www.booking.com/city/it/rimini.en-gb.html,4.82456140350877,3.0,Business_Model_Resilience
105,2015-07-04,http://www.booking.com/city/es/barcelona.en-gb.html,9.62732919254658,3.0,Business_Model_Resilience
106,2015-07-04,http://www.booking.com/city/th/bangkok.en-gb.html,6.39730639730639,3.0,Business_Model_Resilience
107,2015-07-06,http://www.travelbizmonitor.com/Top-Stories/solomon-airlines-partners-with-bookingcom-27815,3.72340425531915,2.0,Access_And_Affordability
108,2015-07-06,http://www.travelweekly.com.au/article/booking-com-goes-to-the-solomons/,4.04624277456647,2.0,Access_And_Affordability
110,2015-07-13,http://www.tnooz.com/article/silently-debuting-homestays-booking-com-jabs-airbnb/,-5.52721078038476,19.0,Waste_And_Hazardous_Materials_Management
111,2015-07-14,http://www.booking.com/destinationfinder/cities/ae/dubai.en-gb.html,4.82456140350877,3.0,Business_Model_Resilience
112,2015-07-15,http://www.booking.com/city/pa/panama.en.html?aid=339462&label=msn-TPyjXUQldlz*cot9coxUGw-5368305634,10.0840336134454,15.0,Product_Design_And_Lifecycle_Management
114,2015-07-22,http://www.booking.com/hotel/bh/the-domain-bahrian.en.html?aid=330632&label=msn-YP8G05IzcCmmZBhq0PR5WA-6311144360,1.11111111111111,7.0,Director_Removal
115,2015-07-22,http://www.booking.com/region/gb/norfolk-county.en-gb.html,3.75,20.0,Water_And_Wastewater_Management
118,2015-07-25,http://www.booking.com/hotel/si/triglav-bled.en.html?aid=330632&label=msn-VxBqh*aAw_gPE*XjLYJrLA-2343066947,0.4291845493562299,7.0,Director_Removal
119,2015-07-25,http://georgiatoday.ge/news/761/Leading-Online-Hotel-Reservation-Website-Booking.com-Opens-in-Georgia,2.30414746543779,3.0,Business_Model_Resilience
120,2015-07-26,http://www.booking.com/region/th/phetchabun.en.html?aid=339464&label=msn-FMqdBYBnIwd3vYmvKkolEQ-6302340345,8.13953488372093,12.0,Management_Of_Legal_And_Regulatory_Framework
122,2015-07-31,http://www.booking.com/hotel/si/triglav-bled.en.html?aid=330632&label=msn-VxBqh*aAw_gPE*XjLYJrLA-2343066946,0.4291845493562299,7.0,Director_Removal
123,2015-07-31,http://www.independent.co.uk/news/people/frankie-boyle-belfast-festival-organisers-apologise-for-any-hurt-and-offence-caused-by-booking-comedian-10429229.html,-4.83460559796438,0.0,Business_Ethics
124,2015-08-01,http://www.booking.com/hotel/kh/royal-palace.en.html?aid=330632&label=msn-Ocy3z3smDVIom_Y5oM4gsQ-468944657,1.1182108626198102,7.0,Director_Removal
126,2015-08-05,http://www.booking.com/city/ar/buenos-aires.en-us.html?aid=306742,8.0,8.0,Employee_Engagement_Inclusion_And_Diversity
127,2015-08-07,http://www.booking.com/city/th/bangkok.en.html?aid=339462&label=msn-a03q8JdP*_*ZTgckoDG5vg-5368060888,6.66666666666667,3.0,Business_Model_Resilience
128,2015-08-08,http://tpr.org/post/ride-booking-company-lyft-may-return-san-antonio,3.82293762575453,8.0,Employee_Engagement_Inclusion_And_Diversity
129,2015-08-10,http://www.booking.com/hotel/pe/apartamento-miraflores-la-palma.en.html?aid=330632&label=msn-5Z6G8Z0GEMsZ46OS6BjBLA-8862805812,5.0,7.0,Director_Removal
130,2015-08-11,http://officesnapshots.com/2015/08/11/booking-com-singapore-offices/,5.0,8.0,Employee_Engagement_Inclusion_And_Diversity
132,2015-08-18,http://www.booking.com/hotel/kh/royal-palace.en.html?aid=330632&label=msn-Ocy3z3smDVIom_Y5oM4gsQ-5367514925,1.1095700416088798,7.0,Director_Removal
133,2015-08-21,http://www.booking.com/city/th/bangkok.html?aid=306742&label=msn-IWah017V_ijoMCn9hnsX5Q-8497440516,6.71724879407446,3.0,Business_Model_Resilience
134,2015-08-21,http://www.booking.com/city/us/san-francisco.en-gb.html,2.88888888888889,3.0,Business_Model_Resilience
135,2015-08-22,http://www.booking.com/city/th/bangkok.html?aid=306742&label=msn-IWah017V_ijoMCn9hnsX5Q-8497440515,6.688963210702339,3.0,Business_Model_Resilience
136,2015-08-23,http://www.booking.com/city/th/bangkok.html?aid=306742&label=msn-IWah017V_ijoMCn9hnsX5Q-5368112713,6.79611650485437,3.0,Business_Model_Resilience
137,2015-08-23,http://www.booking.com/city/us/san-diego.en-gb.html,4.888888888888889,8.0,Employee_Engagement_Inclusion_And_Diversity
