Categories,N,Count
Business_Ethics,0,3.056768558951965
Data_Security,1,1.7467248908296942
Access_And_Affordability,2,0.43668122270742354
Business_Model_Resilience,3,10.91703056768559
Competitive_Behavior,4,31.877729257641924
Critical_Incident_Risk_Management,5,0.43668122270742354
Customer_Welfare,6,3.9301310043668125
Director_Removal,7,0.0
Employee_Engagement_Inclusion_And_Diversity,8,3.4934497816593884
Employee_Health_And_Safety,9,14.41048034934498
Human_Rights_And_Community_Relations,10,0.0
Labor_Practices,11,3.9301310043668125
Management_Of_Legal_And_Regulatory_Framework,12,7.423580786026202
Physical_Impacts_Of_Climate_Change,13,0.0
Product_Quality_And_Safety,14,0.0
Product_Design_And_Lifecycle_Management,15,1.7467248908296942
Selling_Practices_And_Product_Labeling,16,0.0
Supply_Chain_Management,17,0.0
Systemic_Risk_Management,18,11.353711790393014
Waste_And_Hazardous_Materials_Management,19,0.0
Water_And_Wastewater_Management,20,0.0
Air_Quality,21,0.0
Customer_Privacy,22,5.240174672489083
Ecological_Impacts,23,0.0
Energy_Management,24,0.0
GHG_Emissions,25,0.0
